ab roller,Abs,,Strength,Intermediate,Other,1 or 3
adductor foam roll,Upper Legs,Adductor,Stretching,Beginner,Foam Roll,1 or 3
adductor/groin stretch,Upper Legs,Adductor,Stretching,Beginner,Body,1 or 3
advanced kettlebell windmill,Abs,Glutes,Strength,Beginner,Kettlebell,2
air bike,Cardio,,Cardio,Intermediate,Other,4
all fours quad stretch,Upper Legs,Quadriceps,Stretching,Beginner,Body,1 or 3
alternate hammer curl,Arms,Biceps,Strength,Intermediate,Dumbbell,2
alternate heel touchers,Abs,,Strength,Intermediate,Body,1 or 3
alternate incline dumbbell curl,Arms,Biceps,Strength,Intermediate,Dumbbell,2
alternate leg diagonal bound,Upper Legs,Quadriceps,Plyometrics,Beginner,Body,1 or 3
alternating cable shoulder press,Shoulders,,Strength,Beginner,Cable,2
alternating deltoid raise,Shoulders,,Strength,Beginner,Dumbbell,2
alternating floor chest press,Chest,,Strength,Beginner,Dumbbell,2
alternating hang clean,Upper Legs,Hamstrings,Strength,Beginner,Kettlebell,2
alternating kettlebell press,Shoulders,,Strength,Beginner,Kettlebell,2
alternating kettlebell row,Back,,Strength,Intermediate,Kettlebell,2
alternating lunge jump,Upper legs,Glutes,Plyometrics,Intermediate,Body,1 or 3
alternating renegade row,Back,Abs Chest,Strength,Intermediate,Dumbbell,2
ankle circles,Lower Legs,Calves,Stretching,Beginner,Body,1 or 3
ankle on the knee,Glutes,,Stretching,Beginner,Body,1 or 3
anterior tibialis foam roll,Lower Legs,Calves,Stretching,Beginner,Foam Roll,1 or 3
anti-gravity press,Shoulders,,Strength,Intermediate,EZ bar,2
arm circles,Shoulders,,Stretching,Beginner,Body,1 or 3
arnold dumbbell press,Shoulders,,Strength,Intermediate,Dumbbell,2
around the worlds,Chest,,Strength,Intermediate,Dumbbell,2
atlas stone trainer,Back,Arms,Strongman,Intermediate,Other,2
atlas stones,Back,Arms,Strongman,Intermediate,Other,2
axle deadlift,Back,,Strongman,Beginner,Other,2
ab crunch machine,Abs,,Strength,Beginner,Machine,2
back flyes with bands,Shoulders,,Strength,Beginner,Bands,1
backward drag,Upper legs,Quadriceps,Strongman,Beginner,Other,5
Behind head medicine ball throw,Shoulders,,Plyometrics,Beginner,Medicine ball,1 or 3
balance board,Lower legs,Calves,Strength,Intermediate,Other,3
exercise ball leg curl,Upper legs,Hamstrings,Strength,Intermediate,Exercise ball,1
band assisted pull-up,Back,Lats,Strength,Intermediate,Bands,2
band good morning,Upper legs,Hamstrings,Powerlifting,Beginner,Bands,2
band good morning - pull through,Upper legs,Hamstrings,Powerlifting,Beginner,Bands,2
band hip adductions,Upper legs,Adductors,Strength,Beginner,Bands,1
band pull apart,Shoulders,,Strength,Beginner,Bands,1
band skull crusher,Arms,Triceps,Strength,Intermediate,Bands,1
barbell ab rollout,Abs,,Strength,Intermediate,Barbell,1
barbell ab rollout - on knees,Abs,,Strength,Intermediate,Barbell,1
barbell bench press,Chest,,Strength,Intermediate,Barbell,2
barbell curl,Arms,Biceps,Strength,Beginner,Barbell,2
barbell curls on an incline,Arms,Biceps,Strength,Beginner,Barbell,2
barbell deadlift,Upper legs,Back,Strength,Intermediate,Barbell,2
barbell squat,Upper legs,Glutes,Strength,Intermediate,Barbell,2
barbell glute bridge,Glutes,,Strength,Intermediate,Barbell,2
barbell guillotine bench press,Chest,,Strength,Beginner,Barbell,2
barbell hack squat,Upper legs,Quadriceps,Strength,Expert,Barbell,2
barbell hip thrust,Glutes,,Strength,Intermediate,Barbell,2
barbell incline bench press,Chest,,Strength,Intermediate,Barbell,2
barbell incline shoulder raise,Shoulders,,Strength,Beginner,Barbell,2
barbell lunge,Upper Legs,Quadriceps,Strength,Beginner,Barbell,2
barbell rear delt row,Shoulders,,Strength,Intermediate,Barbell,2
barbell rollout from bench,Abs,,Strength,Intermediate,Barbell,2
barbell seated calf raise,Lower legs,Calves,Strength,Beginner,Barbell,2
barbell shoulder press,Shoulders,,Strength,Intermediate,Barbell,2
barbell shrug,Shoulders,Traps,Strength,Intermediate,Barbell,2
barbell shrug behind the back,Shoulders,Traps,Strength,Intermediate,Barbell,2
barbell side bend,Abs,,Strength,Intermediate,Barbell,2
barbell side split squat,Upper Legs,Quadriceps,Strength,Intermediate,Barbell,2
barbell squat,Upper Legs,Quadriceps,Strength,Intermediate,Barbell,2
barbell squat to a bench,Upper Legs,Quadriceps,Strength,Intermediate,Barbell,2
barbell step ups,Upper Legs,Quadriceps,Strength,Intermediate,Barbell,2
barbell walking lunge,Upper Legs,Quadriceps,Strength,Intermediate,Barbell,2
battle ropes,Shoulders,,Strength,Intermediate,Other,3
bear crawl sled drags,Upper Legs,,Strongman,Intermediate,Other,5
behind head chest stretch,Chest,,Stretching,Beginner,Other,1 or 3
bench dips,Arms,,Strength,Beginner,Body,2
bench jump,Upper Legs,Quadriceps,Plyometrics,Intermediate,Body,1 or 3
bench press - bands,Chest,,Strength,Beginner,Bands,2
bench press - chains,Chest,,Powerlifting,Intermediate,Barbell,2
bench skip,Upper legs,,Plyometrics,Beginner,Body,1 or 3
Barbell bent over row,Back,,Strength,Intermediate,Barbell,2
bent over dumbbell rear delt raise - head on bench,Shoulders,,Strength,Intermediate,Dumbbell,2
bent over low-pulley side lateral,Shoulders,,Strength,Beginner,Cable,2
bent over one-arm long bar row,Back,,Strength,Intermediate,Barbell,2
bent over two-arm long bar row,Back,,Strength,Intermediate,Barbell,2
bent over two-dumbbell row,Back,,Strength,Intermediate,Dumbbell,2
bent over two-dumbbell row with palms in,Back,,Strength,Intermediate,Dumbbell,2
bent press,Abs,,Strength,Intermediate,Kettlebells,2
bent-arm barbell pullover,Back,,Strength,Intermediate,Barbell,2
bent-arm dumbbell pullover,Chest,,Strength,Intermediate,Dumbbell,2
bent-knee hip raise,Abs,,Strength,Beginner,Body,1
Cycling,Cardio,,Cardio,Beginner,Other,4
Cycling machine,Cardio,,Cardio,Beginner,Machine,4
board bench press,Chest,,Powerlifting,Intermediate,Barbell,2
body tricep press,Triceps,,Strength,Intermediate,Body,2
body-up,Arms,Abs,Strength,Intermediate,Body,1
bodyweight flyes,Chest,,Strength,Beginner,EZ bar,2
bodyweight mid row,Back,,Strength,Expert,Other,2
bodyweight squat,Upper legs,,Strength,Beginner,Body,1
bodyweight walking lunge,Upper legs,,Strength,Beginner,Body,1
bosu ball cable crunch with side bends,Abs,,Strength,Beginner,Cable,2
bottoms up,Abs,,Strength,Beginner,Body,1
bottoms-up clean from the hang position,Arms,,Strength,Beginner,Kettlebells,1
box jump,Upper legs,Hamstrings,Plyometrics,Intermediate,Other,1 or 3
box skip,Upper legs,Hamstrings,Plyometrics,Beginner,Other,1 or 3
box squat,Upper legs,Quadriceps,Powerlifting,Beginner,Other,1
box squat with bands,Upper legs,Quadriceps,Powerlifting,Beginner,Bands,2
box squat with chains,Upper legs,Quadriceps,Powerlifting,Beginner,Other,2
brachialis foam roll,Arms,Biceps,Stretching,Beginner,Foam roll,1 or 3
bradford/rocky presses,Shoulders,,Strength,Beginner,Barbell,2
Glute bridge,Glutes,,Strength,Beginner,Body,1
butt-ups,Abs,,Strength,Beginner,Body,1
butterfly machine,Chest,,Strength,Intermediate,Machine,2
cable chest press,Chest,,Strength,Intermediate,Cable,2
cable crossover,Chest,,Strength,Intermediate,Cable,2
cable crunch,Abs,,Strength,Intermediate,Cable,2
cable deadlifts,Upper legs,Back,Strength,Beginner,Cable,2
cable hammer curls,Arms,Biceps,Strength,Beginner,Cable,2
cable hip adduction,Upper legs,Quadriceps,Strength,Beginner,Cable,2
cable incline pushdown,Back,Lats,Strength,Intermediate,Cable,2
cable incline tricep extension,Arms,Triceps,Strength,Intermediate,Cable,2
cable internal rotation,Shoulders,,Strength,Beginner,Cable,2
cable iron cross,Chest,,Strength,Beginner,Cable,2
cable judo flip,Abs,,Strength,Beginner,Cable,2
cable lying triceps extension,Arms,Triceps,Strength,Intermediate,Cable,2
cable one arm tricep extension,Arms,Triceps,Strength,Intermediate,Cable,2
cable preacher curl,Arms,Biceps,Strength,Intermediate,Cable,2
cable rear delt fly,Shoulders,,Strength,Beginner,Cable,2
cable reverse crunch,Abs,,Strength,Intermediate,Cable,2
cable rope overhead triceps extension,Arms,Triceps,Strength,Intermediate,Cable,2
cable rope rear-delt rows,Shoulders,,Strength,Intermediate,Cable,2
cable russian twists,Abs,,Strength,Intermediate,Cable,2
cable seated crunch,Abs,,Strength,Intermediate,Cable,2
cable seated lateral raise,Shoulders,,Strength,Intermediate,Cable,2
cable shoulder press,Shoulders,,Strength,Intermediate,Cable,2
cable shrugs,Shoulders,,Strength,Intermediate,Cable,2
cable tuck reverse crunch,Abs,,Strength,Expert,Cable,2
